Run,Sigma,Rho,Adapt_Start,Adapt_stop,Length_run,Seed,ID
47,0.2,0.025,5000,50000,1000000,8,432
48,0.3,0.025,5000,50000,1000000,8,433
49,0.4,0.025,5000,50000,1000000,8,434
50,0.5,0.025,5000,50000,1000000,8,435
51,0.6,0.025,5000,50000,1000000,8,436
52,0.7,0.025,5000,50000,1000000,8,437
53,0.8,0.025,5000,50000,1000000,8,438
54,0.9,0.025,5000,50000,1000000,8,439
55,0.99,0.025,5000,50000,1000000,8,440
1,0.01,0.1,5000,50000,1000000,9,441
2,0.1,0.1,5000,50000,1000000,9,442
3,0.2,0.1,5000,50000,1000000,9,443
4,0.3,0.1,5000,50000,1000000,9,444
5,0.4,0.1,5000,50000,1000000,9,445
6,0.5,0.1,5000,50000,1000000,9,446
7,0.6,0.1,5000,50000,1000000,9,447
8,0.7,0.1,5000,50000,1000000,9,448
9,0.8,0.1,5000,50000,1000000,9,449
10,0.9,0.1,5000,50000,1000000,9,450
11,0.99,0.1,5000,50000,1000000,9,451
12,0.01,0.05,5000,50000,1000000,9,452
13,0.1,0.05,5000,50000,1000000,9,453
14,0.2,0.05,5000,50000,1000000,9,454
15,0.3,0.05,5000,50000,1000000,9,455
16,0.4,0.05,5000,50000,1000000,9,456
17,0.5,0.05,5000,50000,1000000,9,457
18,0.6,0.05,5000,50000,1000000,9,458
19,0.7,0.05,5000,50000,1000000,9,459
20,0.8,0.05,5000,50000,1000000,9,460
21,0.9,0.05,5000,50000,1000000,9,461
22,0.99,0.05,5000,50000,1000000,9,462
23,0.01,0.5,5000,50000,1000000,9,463
24,0.1,0.5,5000,50000,1000000,9,464
25,0.2,0.5,5000,50000,1000000,9,465
26,0.3,0.5,5000,50000,1000000,9,466
27,0.4,0.5,5000,50000,1000000,9,467
28,0.5,0.5,5000,50000,1000000,9,468
29,0.6,0.5,5000,50000,1000000,9,469
30,0.7,0.5,5000,50000,1000000,9,470
31,0.8,0.5,5000,50000,1000000,9,471
32,0.9,0.5,5000,50000,1000000,9,472
33,0.99,0.5,5000,50000,1000000,9,473
34,0.01,0.2,5000,50000,1000000,9,474
35,0.1,0.2,5000,50000,1000000,9,475
36,0.2,0.2,5000,50000,1000000,9,476
37,0.3,0.2,5000,50000,1000000,9,477
38,0.4,0.2,5000,50000,1000000,9,478
39,0.5,0.2,5000,50000,1000000,9,479
40,0.6,0.2,5000,50000,1000000,9,480
41,0.7,0.2,5000,50000,1000000,9,481
42,0.8,0.2,5000,50000,1000000,9,482
43,0.9,0.2,5000,50000,1000000,9,483
44,0.99,0.2,5000,50000,1000000,9,484
45,0.01,0.025,5000,50000,1000000,9,485
46,0.1,0.025,5000,50000,1000000,9,486
47,0.2,0.025,5000,50000,1000000,9,487
48,0.3,0.025,5000,50000,1000000,9,488
49,0.4,0.025,5000,50000,1000000,9,489
50,0.5,0.025,5000,50000,1000000,9,490
51,0.6,0.025,5000,50000,1000000,9,491
52,0.7,0.025,5000,50000,1000000,9,492
53,0.8,0.025,5000,50000,1000000,9,493
54,0.9,0.025,5000,50000,1000000,9,494
55,0.99,0.025,5000,50000,1000000,9,495
1,0.01,0.1,5000,50000,1000000,10,496
2,0.1,0.1,5000,50000,1000000,10,497
3,0.2,0.1,5000,50000,1000000,10,498
4,0.3,0.1,5000,50000,1000000,10,499
5,0.4,0.1,5000,50000,1000000,10,500
6,0.5,0.1,5000,50000,1000000,10,501
